Full Name,Fighter_Id,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
John Dodson,99506df1af6c8b3b,The Magician,5.3,135.0,66.0,Orthodox,22,12,0,False
Joe Doerksen,dbaaf42313af90fa,El Dirte,6.0,185.0,75.0,Orthodox,51,16,0,False
Mike Dolce,29b5791e51e7e832,Skull Cracker,5.11,185.0,,Orthodox,5,10,0,False
Roman Dolidze,327d5f279895110d,No Nickname,6.2,185.0,76.0,Orthodox,15,4,0,False
Cameron Dollar,3bbcd63a016d9715,No Nickname,5.11,155.0,,Orthodox,11,5,0,False
CB Dollaway,5d7bdab5e03e3216,The Doberman,6.2,185.0,76.0,Orthodox,17,9,0,False
Dennis Dombrow,4145caa2c999fbac,No Nickname,,145.0,,Orthodox,7,5,0,False
OJ Dominguez,1a50e734bb54861a,No Nickname,,,,Orthodox,0,1,0,False
John Donaldson,1c610f900f9884ab,J.T.,5.8,145.0,,Orthodox,2,2,0,False
Daniil Donchenko,70dd69b6a703257e,No Nickname,5.11,170.0,71.0,Orthodox,13,2,0,False
Dong Huaxiang,bad82b681819b272,No Nickname,5.3,115.0,61.0,Switch,12,3,0,False
Cody Donovan,7bc96507e4b38d3b,Donnybrook,6.3,205.0,74.0,Orthodox,8,5,0,False
Houston Dorr,312f47c3d2f83ffa,No Nickname,6.1,210.0,,Orthodox,1,2,0,False
Rafael Dos Anjos,6a2f7c151031653d,No Nickname,5.8,170.0,70.0,Southpaw,32,17,0,False
Junior Dos Santos,63def5a5662a6917,Cigano,6.4,238.0,77.0,Orthodox,21,9,0,False
Geronimo dos Santos,b51f6791c794e289,Mondragon,6.3,264.0,,Orthodox,39,19,0,False
Antonio Dos Santos,81b8b3fb019dc69d,Junior Alpha,5.1,185.0,,Orthodox,6,4,0,False
Anderson Dos Santos,bbc9ab95fa766493,Berinja,5.5,135.0,70.0,Orthodox,21,9,0,False
Acacio Dos Santos,957562fdf68a725a,Pequeno,6.4,205.0,79.0,Orthodox,14,5,0,False
Rayanne dos Santos,02bb48869eb7ac8f,No Nickname,5.2,115.0,62.0,Orthodox,14,9,0,False
Felipe dos Santos,5cdf5339728f580d,Lipe Detona,5.7,125.0,70.0,Orthodox,8,3,0,False
Tiago dos Santos e Silva,8ce87f7e3a9baed2,Trator,5.9,145.0,70.0,Orthodox,20,7,2,False
Oleksandr Doskalchuk,86cb6f5b1ca98dc0,No Nickname,5.6,125.0,,Southpaw,10,2,0,False
David Douglas,7cf0944b88966118,Tarzan,5.11,155.0,,Orthodox,9,7,0,False
Damion Douglas,ce3b669e39418414,No Nickname,,170.0,,Orthodox,4,1,0,False
Lerryan Douglas,640a0f838f057a81,Gunslinger,5.9,145.0,72.0,Orthodox,13,5,0,False
Cedric Doumbe,5159e6ee100c717e,No Nickname,5.1,170.0,,Orthodox,2,0,0,False
John Dowdy,e780ccc79a209985,No Nickname,,,,Orthodox,0,1,0,False
Jordan Dowdy,0d9312337fdce39a,No Nickname,,170.0,,Orthodox,4,3,0,False
Danny Downes,a66395395b5f1394,No Nickname,6.0,155.0,72.0,Orthodox,8,3,0,False
Derek Downey,b05086131c6f5dc5,No Nickname,6.1,185.0,,Orthodox,11,4,0,False
John Doyle,0509b954421bb327,The Iron Bull,5.11,205.0,,Orthodox,11,22,0,False
Edson Drago,f9c7fe2682af3802,No Nickname,6.4,220.0,,Orthodox,11,7,0,False
Jimmy Drago,cb4bf812d9cb78b4,No Nickname,5.1,170.0,71.0,Orthodox,7,3,0,False
Anthony Drilich,c2c4052f58f54988,No Nickname,5.5,125.0,65.0,Southpaw,8,2,0,False
Kyle Driscoll,e5e148d4363deff8,KD,5.11,145.0,74.0,Orthodox,12,3,0,False
Chris Drumm,5fd834edd92c9e50,No Nickname,5.8,145.0,,Orthodox,0,1,0,False
Tomasz Drwal,679a9054e2815943,Gorilla,6.1,205.0,76.0,Orthodox,21,5,1,False
Robert Drysdale,d2a9be6bf2de624c,No Nickname,6.3,205.0,,Orthodox,7,0,0,False
Dricus Du Plessis,0d7b51c9d2649a6e,Stillknocks,6.1,185.0,76.0,Switch,23,3,0,False
Hugo Duarte,706404da0775dcbc,No Nickname,6.0,240.0,,Orthodox,6,3,0,False
Antonio Duarte,29b5d32584e02d8d,Tigre,5.7,135.0,,Orthodox,19,7,0,False
Joe Duarte,454c3e9d4cd4a1b3,No Nickname,,155.0,,Orthodox,10,4,0,False
Yuneisy Duben,c3d2b9bcb4cead6b,No Nickname,5.4,125.0,65.0,Orthodox,6,1,0,False
Matthieu Duclos,ec322adbabbfa6e7,No Nickname,6.3,185.0,77.0,Orthodox,6,3,0,False
Emily Ducote,02f8fedc18cbd26c,Gordinha,5.2,115.0,63.0,Orthodox,13,9,0,False
Viktoriia Dudakova,6c9b66b43663f2f7,No Nickname,5.5,115.0,67.0,Orthodox,8,2,0,False
Milana Dudieva,072a10e85f7d4bff,No Nickname,5.3,135.0,,Orthodox,11,6,0,False
Adin Duenas,cb6c45b26b0a877a,No Nickname,5.6,145.0,,Orthodox,6,1,0,False
Todd Duffee,bda04c573563cc2e,No Nickname,6.3,260.0,78.0,Orthodox,9,3,0,False
Joe Duffy,654ae722109a0d31,Irish,5.1,155.0,73.0,Orthodox,16,5,0,False
Jack Duffy,cea51876d8a514a0,The Fury,5.7,125.0,69.0,Switch,7,1,0,False
Alexis Dufresne,4ae4049426e0161d,Sneaky Zebra,5.9,135.0,,Orthodox,6,3,0,False
Jessamyn Duke,a7ddae0be8b78147,The Gun,5.11,135.0,73.0,Orthodox,3,5,0,False
Islam Dulatov,e803242fb2e41112,The Ripper,6.3,170.0,75.0,Orthodox,12,1,0,False
Isaac Dulgarian,a57cb948c4c70a47,The Midwest Choppa,5.7,145.0,71.0,Orthodox,7,1,0,False
Kelly Dullanty,1a225f04aa6e0739,Psycho,5.8,155.0,,Orthodox,4,2,0,False
Sedriques Dumas,4e6738062d469256,The Reaper,6.2,185.0,79.0,Orthodox,10,3,0,False
Norma Dumont,d3f5d33d61cd00c9,The Immortal,5.7,135.0,67.0,Orthodox,12,2,0,False
Chris Duncan,fd406a32a6fb3a29,The Problem,5.1,155.0,71.0,Orthodox,14,2,0,False
Christian Leroy Duncan,a93f94c923c3a9cb,CLD,6.2,185.0,79.0,Switch,12,2,0,False
Evan Dunham,e5c9de15bb58b1c6,No Nickname,5.1,155.0,70.0,Southpaw,18,9,1,False
Alex Dunworth,31732a614e7a3d1d,No Nickname,5.8,155.0,,Orthodox,2,2,0,False
Tom Duquesnoy,e979c76341f19b22,Fire Kid,5.7,135.0,68.0,Orthodox,16,2,0,False
Albert Duraev,6b7c7460855dbbb9,No Nickname,5.11,185.0,75.0,Orthodox,16,5,0,False
Reuben Duran,4417980b3e798abf,No Nickname,5.7,135.0,71.0,Orthodox,11,7,1,False
Cody Durden,7f6ed67d3ed3c036,Custom Made,5.7,125.0,67.0,Southpaw,17,8,1,False
Luiz Dutra,2153a7f8396a46cc,Besouro,5.11,170.0,,Orthodox,13,6,1,False
Rilley Dutro,43db649da89fac4b,No Nickname,5.8,125.0,,Orthodox,11,4,0,False
Bill Duvall,7df4d3c38792b083,No Nickname,6.2,185.0,,Southpaw,1,2,0,False
Merab Dvalishvili,c03520b5c88ed6b4,The Machine,5.6,135.0,68.0,Orthodox,21,4,0,True
David Dvorak,9ada30894bf04e19,Undertaker,5.5,125.0,68.0,Orthodox,20,6,0,False
Matt Dwyer,8f0d576beba1cfcd,No Nickname,6.4,170.0,76.0,Orthodox,9,4,0,False
Rolando Dy,55ed59d541f8b90c,Dy Incredible,5.8,145.0,69.0,Orthodox,9,7,1,False
Shanelle Dyer,cfbb3edab781dfd2,The Nightmare,5.6,115.0,65.0,Orthodox,6,1,0,False
Ben Earwood,ee457ef1e1c326c1,No Nickname,5.8,170.0,,Orthodox,12,3,0,False
Cody East,5713c1d2fac539ac,The Freight Train,6.3,245.0,,Orthodox,12,3,0,False
Marvin Eastman,05866d8c3a321856,The Beastman,5.9,185.0,73.0,Orthodox,18,15,1,False
Mike Easton,bc7230f231701d66,The Hulk,5.6,135.0,70.0,Southpaw,13,6,0,False
Maurice Eazel,4acb99524a9a81ab,No Nickname,5.7,135.0,,Orthodox,7,15,0,False
Vincent Eazelle,ec421d5de0aea624,The Real Deal,5.11,155.0,,Orthodox,9,2,0,False
Ross Ebanez,a5b0bd216d8ba84e,The Boss,5.9,154.0,,Southpaw,20,10,0,False
Brian Ebersole,32ba186f4b0e3267,Bad Boy,6.0,170.0,73.0,Southpaw,51,18,1,False
Roybert Echeverria,20b13e96668caaa4,The Unbroken,5.5,125.0,67.0,Switch,7,1,0,False
Mark Eddiva,40ff198adda94b9f,No Nickname,5.8,145.0,68.0,Orthodox,6,3,0,False
Frankie Edgar,f2688492b9a525a3,The Answer,5.6,135.0,68.0,Orthodox,23,11,1,False
Abdul-Kerim Edilov,37e03538c960bac6,No Nickname,6.2,205.0,,Orthodox,17,4,0,False
Johnny Eduardo,528c24b99fbaab79,No Nickname,5.7,135.0,71.0,Orthodox,28,13,0,False
Yves Edwards,5f04e3d58d9ce982,No Nickname,5.9,155.0,73.0,Southpaw,42,22,1,False
Justin Edwards,e56daf7725a0b5ab,Fast Eddy,5.1,155.0,70.0,Orthodox,9,5,0,False
Leon Edwards,f1fac969a1d70b08,Rocky,6.2,170.0,74.0,Southpaw,22,5,0,False
Te Edwards,ef44e4ea9050f2ea,No Nickname,5.8,155.0,72.0,Orthodox,6,3,0,False
Adli Edwards,e6904a03a66e711d,No Nickname,,145.0,,Orthodox,4,1,0,False
Joselyne Edwards,f9ab66e67240db7b,La Pantera,5.8,135.0,70.0,Orthodox,16,6,0,False
Tom Egan,eae4aec1a5a8ff01,No Nickname,5.11,170.0,,Orthodox,7,5,0,False
Stephanie Egger,5e6294b37bbef029,No Nickname,5.6,135.0,68.0,Orthodox,8,5,0,False
Justin Eilers,27fc9218a3653e3c,The Hammer,6.1,235.0,,Orthodox,19,7,1,False
Jon Olav Einemo,0577808d22dfe79c,The Viking,6.6,253.0,,Orthodox,6,3,0,False
Per Eklund,58bc81376286b3d3,No Nickname,5.1,155.0,72.0,Orthodox,14,5,1,False
John Elam,22d80fb67e50ab0b,No Nickname,,,,Orthodox,2,0,0,False
Evan Elder,d9a56ecb6e94f02e,The Phenom,5.1,155.0,72.0,Switch,10,2,0,False
Billy Elekana,07a74004d964c7f4,Son of Susie,6.3,205.0,77.0,Southpaw,8,2,0,False
John Paul Elias,e873203fd50542f6,No Nickname,6.4,205.0,,Orthodox,3,1,0,False
Joao Elias,1a064688481f66e1,Alicate,5.3,125.0,64.0,Southpaw,17,4,1,False
Saul Elizondo,e295b96f135d758a,No Nickname,5.7,135.0,,Orthodox,6,8,0,False
Darren Elkins,92a9aa9c93192871,The Damage,5.1,145.0,71.0,Orthodox,29,12,0,False
Jake Ellenberger,d81ac739417d7f53,The Juggernaut,5.9,170.0,71.0,Orthodox,31,15,0,False
Joe Ellenberger,8e8e4487c621aa1c,Excalibur,5.9,155.0,72.0,Orthodox,15,2,0,False
Tim Elliott,c96d9178c9ed9e62,No Nickname,5.7,125.0,66.0,Southpaw,22,13,1,False
Oban Elliott,6b56e94a59b7b134,The Welsh Gangster,6.0,170.0,72.0,Orthodox,12,3,0,False
Eddy Ellis,e60d773a0a42048a,Fast,5.9,170.0,,Orthodox,21,16,1,False
Lisa Ellis,77350fd0e6d1dba8,No Nickname,5.4,115.0,,Orthodox,15,11,0,False
Elisha Ellison,87e4a3a5080ee7ce,The Snack Panther,6.0,238.0,78.0,Orthodox,5,2,0,False
Anna Elmose,1536a25e16fc299b,Panda,5.3,115.0,,Orthodox,3,2,0,False
Cameron Else,5f3da9a9610d8969,Camchida,5.9,135.0,71.0,Switch,10,6,0,False
Aaron Ely,1741343f0ca34dd5,The Cyborg,5.8,135.0,,Orthodox,5,2,0,False
Sovannahry Em,45c8fed13a62fe92,The Sweet Savage,5.4,135.0,,Orthodox,3,1,0,False
Ramazan Emeev,abd5fb12437eda21,Gorets,5.1,170.0,76.0,Southpaw,20,6,0,False
Aleksander Emelianenko,f54200f1dfb9b5d4,No Nickname,6.6,255.0,,Orthodox,23,7,0,False
Fedor Emelianenko,b8da6f5c80ae2d15,The Last Emperor,6.0,230.0,74.0,Orthodox,36,5,0,False
Rob Emerson,dc0f07928009a127,The Saint,5.9,155.0,70.0,Orthodox,18,12,0,False
Jamall Emmers,e00a3dee329a51f7,Pretty Boy,5.1,145.0,74.0,Orthodox,21,8,0,False
Josh Emmett,fba03cd6cc28dc41,CC0,5.6,145.0,70.0,Orthodox,19,6,0,False
Marius Enache,e3f443e4cbc3da8f,No Nickname,5.11,155.0,,Orthodox,3,3,0,False
Kevin Engel,d2f310b5b072e986,The Hitman,6.2,170.0,,Orthodox,5,1,0,False
Kolton Englund,4122da4f791b2f4f,White Assassin,5.1,155.0,69.0,Orthodox,9,4,0,False
Oliver Enkamp,330bafba312face4,No Nickname,6.0,170.0,77.0,Switch,7,2,0,False
Alex Enlund,d238217e0f8ea8e1,No Nickname,5.1,145.0,,Orthodox,14,2,0,False
Kenny Ento,daf9be103c1edbbd,Tha' Dragon,6.2,192.0,,Orthodox,14,15,0,False
Ian Entwistle,d7adfcfdf7c6c1f8,Enty,5.5,135.0,,Orthodox,9,3,0,False
Andy Enz,993d385f5a475375,Tank Mode,6.3,185.0,78.0,Orthodox,10,4,0,False
Won Jin Eoh,bc7cf284c1c2f16e,No Nickname,5.7,160.0,,Orthodox,5,5,1,False
Yuji Ephoevi-Ga,919fc4bc3edf4de7,The Chef,6.0,155.0,75.0,Switch,11,1,0,False
Josh Epps,984b0c4c6e773a1c,No Nickname,,130.0,,Orthodox,6,7,0,False
Abdellah Er-Ramy,b593cd58b0afffb0,The Golden Boy,6.0,185.0,74.0,Orthodox,7,2,0,False
Steve Erceg,32ab52e5de93092d,Astroboy,5.8,125.0,68.0,Orthodox,13,4,0,False
Tom Erikson,7b9a85e5ff31ef47,The Big Cat,6.3,280.0,,Orthodox,9,4,1,False
Konstantin Erokhin,22061ff217907c78,No Nickname,5.11,230.0,,Orthodox,9,3,0,False
Julian Erosa,902ec2cc48c8ae8a,Juicy J,6.1,145.0,74.0,Southpaw,31,13,0,False
Jarno Errens,082eba4cd80f736f,No Nickname,5.11,145.0,73.0,Orthodox,14,6,1,False
Ivan Erslan,64ad3e3b0efa30bb,No Nickname,6.2,205.0,72.0,Orthodox,14,6,0,False
Nick Ertl,74061adb224be3cc,No Nickname,5.9,155.0,,Orthodox,8,6,0,False
Chel Erwin-Davis,c26ea30823f37316,The First Sun,6.0,170.0,,Orthodox,5,1,0,False
Bobby Escalante,f7ede18b4ec4ec1f,No Nickname,,130.0,,Orthodox,5,6,0,False
Eric Esch,0e4daed84a8f39a6,Butterbean,5.11,350.0,,Orthodox,15,10,1,False
Pro Escobedo,b36874652ed7715d,No Nickname,,205.0,,Orthodox,1,0,0,False
Cole Escovedo,5df17b3620145578,Apache Kid,5.7,135.0,72.0,Orthodox,17,9,0,False
Efrain Escudero,83fd97284f4bb4a4,Hecho En Mexico,5.9,155.0,71.0,Orthodox,28,12,0,False
Evan Esguerra,ed220e87bef0cc64,No Nickname,,145.0,,Orthodox,8,7,0,False
Carla Esparza,d910665038efc639,Cookie Monster,5.1,115.0,63.0,Orthodox,20,8,0,False
Juan Espino,ccf5dc41417e9daf,El Guapo,6.3,255.0,80.0,Orthodox,11,2,0,False
Jordan Espinosa,215a70f073a7b726,The Gamer,5.6,125.0,69.0,Orthodox,15,9,0,False
Jodie Esquibel,411539901068522f,No Nickname,5.1,115.0,64.0,Orthodox,6,6,0,False
Rafael Estevam,83455a9d17f57dae,Macapa,5.8,125.0,69.0,Orthodox,14,0,0,False
Achilles Estremadura,41f3cfdab0b22236,No Nickname,5.1,155.0,68.0,Orthodox,7,1,0,False
Shaun Etchell,ea9bfe9c25037bba,The Buzzsaw,5.7,125.0,68.0,Switch,7,3,0,False
Terry Etim,33011768c3c4dc9a,No Nickname,6.1,155.0,73.0,Orthodox,16,5,0,False
Fred Ettish,8d5daf67983b65ba,No Nickname,6.0,180.0,,Southpaw,1,1,0,False
Scott Ettling,74b5736f1df40be3,No Nickname,,135.0,,Orthodox,4,2,0,False
Sijara Eubanks,4234f0097c83fa62,SarJ,5.4,125.0,67.0,Orthodox,8,7,0,False
Billy Evangelista,9766ed20b68c7c33,No Nickname,5.8,155.0,68.0,Orthodox,13,3,0,False
Rashad Evans,ee779c43a8926d52,Suga,6.0,205.0,75.0,Orthodox,19,8,1,False
Doug Evans,d3de4a24f7eefac8,No Nickname,5.9,155.0,,Orthodox,13,10,0,False
Ashlee Evans-Smith,fc6e681bf6658faf,Rebel Girl,5.8,135.0,67.0,Orthodox,6,6,0,False
Dan Evensen,dd8aec6de7035943,The Viking,6.3,250.0,,Orthodox,11,4,0,False
Tonya Evinger,b12a1d19ee383b7c,Triple Threat,5.7,135.0,70.0,Orthodox,19,8,0,False
Movsar Evloev,76e2870ffafbe38f,No Nickname,5.7,145.0,72.0,Orthodox,19,0,0,False
Andre Ewell,5f6f049d54728e88,Mr. Highlight,5.8,145.0,75.0,Southpaw,17,9,0,False
Chris Ewert,54c2576b7f2f1f57,El Tanke,6.0,185.0,75.0,Orthodox,7,1,0,False
Neal Ewing,0798f558681d0eb5,No Nickname,,185.0,,Orthodox,6,0,0,False
Manuel Exposito,a1cb266d7f44f35f,No Nickname,5.7,145.0,68.0,Orthodox,13,3,0,False
Jessica Eye,f72465a784c1b084,Evil,5.6,125.0,66.0,Orthodox,15,11,0,False
Edward Faaloloto,6224e8d0a34264eb,No Nickname,,155.0,70.0,Orthodox,2,5,0,False
Urijah Faber,78114b7199cef90c,The California Kid,5.6,135.0,67.0,Orthodox,35,11,0,False
Melinda Fabian,8c020156779f7888,No Nickname,5.6,125.0,66.0,Orthodox,4,4,2,False
Wagnney Fabiano,40389d39a92f5bfa,The Silencer,5.6,145.0,69.0,Southpaw,16,4,0,False
Bartosz Fabinski,e17ac6410c8377f4,The Butcher,6.0,170.0,75.0,Orthodox,15,5,0,False
Ron Faircloth,453ee00c3e1ae9dd,No Nickname,5.9,205.0,,Orthodox,33,20,0,False
Jason Fairn,adea9f0090aa8e14,No Nickname,6.1,230.0,,Orthodox,4,5,0,False
Zarah Fairn,862b0b3375aa4b6e,Infinite,5.8,135.0,72.0,Orthodox,6,6,0,False
Rinat Fakhretdinov,8f765fd5775a8873,Gladiator,6.0,170.0,74.0,Orthodox,24,1,1,False
Maiquel Falcao,d58478ded5534695,Big Rig,5.11,185.0,,Orthodox,37,10,0,False
Pedro Falcao,f7be1db194e03d7e,Pedrinho,5.6,135.0,66.0,Orthodox,16,5,0,False
Brodie Farber,91d73ee59347ac16,No Nickname,6.1,170.0,,Orthodox,16,7,0,False
Joao Paulo Faria,04e9955f33e0c267,No Nickname,5.9,155.0,,Orthodox,1,1,0,False
Kalindra Faria,27b164b0d1833df0,No Nickname,5.7,125.0,,Switch,18,8,1,False
Jair Farias,431262bbc69215dc,Chosen,6.1,145.0,76.0,Orthodox,10,1,0,False
Chance Farrar,49c7236c737d7e59,No Nickname,5.9,145.0,,Southpaw,8,3,0,False
Rico Farrington,f89e6e66b9b112de,The Triggerman,6.4,170.0,79.0,Southpaw,7,3,0,False
Kelly Faszholz,9c42a0de8e012870,No Nickname,5.8,135.0,,Orthodox,4,2,0,False
Rodney Faverus,5af26b3201690d29,No Nickname,6.0,215.0,,Southpaw,25,20,3,False
Paul Felder,e5010b1b94ca5755,The Irish Dragon,5.11,155.0,70.0,Orthodox,17,6,0,False
Carlos Felipe,a2ea77e974c5889f,Boi,6.0,245.0,75.0,Orthodox,11,2,0,False
JP Felty,954e3f4e2b0e6510,No Nickname,,170.0,,Orthodox,4,5,0,False
Feng Pengchao,86597694317e5e1b,No Nickname,,135.0,,Orthodox,15,9,1,False
Feng Xiaocan,c940b42df95bbd28,No Nickname,5.7,115.0,67.0,Southpaw,10,4,0,False
Kevin Ferguson,27541033b97c076d,Kimbo Slice,6.2,235.0,77.0,Orthodox,5,2,0,False
Rhadi Ferguson,15f4550e017f6c7d,No Nickname,5.7,205.0,,Orthodox,3,0,0,False
Tony Ferguson,22a92d7f62195791,El Cucuy,5.11,170.0,76.0,Orthodox,26,11,0,False
Josh Ferguson,b0f316c60f8d3b47,Taz,5.5,125.0,,Orthodox,10,5,0,False
CJ Fernandes,979f7edbb6980b0d,No Nickname,6.2,170.0,,Orthodox,14,8,3,False
Bibiano Fernandes,cbc071cb20ea59c7,No Nickname,5.7,139.0,,Orthodox,20,3,0,False
Gabriella Fernandes,a6eb54ae17a551be,Gabi,5.6,125.0,66.0,Southpaw,11,3,0,False
Kaue Fernandes,ec13c393d029297d,No Nickname,5.9,155.0,73.0,Orthodox,11,2,0,False
Emily Fernandez,7ee1babb99f30115,No Nickname,,,,Orthodox,0,0,0,False
Luke Fernandez,d62e280d0f7b6d6f,No Nickname,6.1,205.0,76.0,Orthodox,6,0,0,False
Lucas Fernando,3df223aeaacecf3f,No Nickname,6.3,185.0,80.0,Orthodox,9,2,0,False
Alexandre Ferreira,28ba5f27e473420c,Cacareco,5.7,205.0,,Orthodox,18,6,0,False
Cezar Ferreira,dbc17725b887860a,Mutante,6.1,185.0,78.0,Southpaw,13,8,0,False
Diego Ferreira,f53d4f21d1b5f2dc,No Nickname,5.9,155.0,74.0,Orthodox,19,7,0,False
Erisson Ferreira,1c2a8915f8431507,Gato,5.6,125.0,70.0,Orthodox,12,2,0,False
Brunno Ferreira,1e719d4b676dc19a,The Hulk,5.1,185.0,72.0,Orthodox,14,2,0,False
Scott Ferrozzo,977081bc01197656,The Pitbull,5.11,323.0,,Orthodox,4,2,0,False
Timo Feucht,8c21eb9fd7c4c203,No Nickname,6.3,205.0,79.0,Orthodox,8,1,0,False
Andre Fialho,33efaf2d0941cfcf,No Nickname,6.0,170.0,74.0,Orthodox,16,8,0,False
Drew Fickett,d814f5192e58fb2f,The Master,5.1,155.0,70.0,Orthodox,42,21,0,False
Scott Fiedler,0ec821423baa26bd,No Nickname,6.4,235.0,,Orthodox,0,1,0,False
Ron Fields,6e380a4d73ab4f0e,Killing,6.2,200.0,,Orthodox,28,32,1,False
Michal Figlak,b4c57a8c2b773e82,Mad Dog,5.1,155.0,70.0,Orthodox,8,2,0,False
Deiveson Figueiredo,aa72b0f831d0bfe5,Deus da Guerra,5.5,135.0,68.0,Orthodox,25,5,1,False
Francisco Figueiredo,cdadae5363b66eef,Sniper,5.6,125.0,68.0,Southpaw,13,5,1,False
Anthony Figueroa,daff32bc96d1eabf,No Nickname,5.4,135.0,,Orthodox,11,8,1,False
Edwin Figueroa,bbfca6d5c27d9cd8,El Feroz,5.7,135.0,69.0,Orthodox,9,5,0,False
Jonathan Figueroa,2226445c4a196dc8,El Picante,,185.0,,Orthodox,16,1,0,False
Paulo Filho,2abdead94ce73552,No Nickname,5.8,185.0,,Southpaw,23,6,3,False
Jafel Filho,65adf3856c4d9256,Pastor,5.7,125.0,68.0,Orthodox,17,4,0,False
Andre Fili,8fd808923cffff82,Touchy,5.11,145.0,74.0,Orthodox,25,12,0,False
Mirko Filipovic,c32fb8c0f6471a4d,Cro Cop,6.2,230.0,73.0,Southpaw,35,11,2,False
Brady Fink,997b4f52f76a0b53,No Nickname,6.0,183.0,,Orthodox,2,3,0,False
Jesse Finney,0496cdac0bc9edd8,No Nickname,6.0,170.0,,Orthodox,5,1,0,False
Jan Finney,3317823959d32a05,Cuddles,5.8,135.0,,Orthodox,11,12,0,False
Torrez Finney,fbb60f24af5d5a02,The Punisher,5.8,185.0,75.0,Orthodox,11,0,0,False
Luigi Fioravanti,9583662df31d943f,No Nickname,5.8,170.0,70.0,Orthodox,26,15,0,False
Nick Fiore,036e96c1c12b8a59,No Nickname,5.1,155.0,72.0,Orthodox,6,2,0,False
Manon Fiorot,34ff304266360297,The Beast,5.7,125.0,65.0,Orthodox,13,2,0,False
Luiz Firmino,16d09e800ad7ec79,Buscape,5.6,154.0,,Orthodox,19,8,0,False
Spencer Fisher,f34312c2ccfa0e00,The King,5.7,155.0,68.0,Southpaw,24,9,0,False
Chris Fishgold,bebb4ae55ac2bf6f,No Nickname,5.8,145.0,68.0,Orthodox,18,4,1,False
Bryanna Fissori,5517bd590dbbe1f8,No Nickname,5.4,145.0,,Orthodox,2,4,0,False
Jon Fitch,6f018c039b4d5d80,No Nickname,6.0,170.0,74.0,Orthodox,30,7,1,False
Isi Fitikefu,b8dc5fbf8338adc5,Doxz,5.1,205.0,,Orthodox,6,0,0,False
Rafael Fiziev,c814b4c899793af6,Ataman,5.8,155.0,71.0,Switch,13,4,0,False
Colin Fletcher,7d09200f6a77b20e,The Freakshow,6.2,155.0,,Orthodox,14,8,0,False
AJ Fletcher,725b1abc9a39d873,The Ghost,5.1,170.0,67.0,Switch,10,3,0,False
Nathan Fletcher,a2d342ffc83913ed,No Nickname,5.7,135.0,70.0,Orthodox,9,3,0,False
Jimmy Flick,09e62c450e754913,The Brick,5.7,125.0,68.0,Orthodox,17,9,0,False
Luke Flores,b5f44dcb863f595b,No Nickname,6.0,155.0,73.0,Southpaw,9,2,0,False
Ty Flores,4bb0f74d5e26f89a,Big Medicine,6.3,205.0,73.0,Switch,7,3,0,False
Alejandro Flores,d23d5960ac5e117c,El Gallito,5.1,145.0,73.0,Orthodox,17,3,0,False
Kenny Florian,cb139171ed1b69fe,KenFlo,5.1,145.0,74.0,Southpaw,14,6,0,False
Darrius Flowers,65db4065e2bc107d,Beast Mode,5.9,155.0,71.0,Orthodox,12,8,1,False
Cody Floyd,8164250600b7c91b,No Nickname,,,,Orthodox,2,0,0,False
Bobby Flynn,c97fc5fbf7d32b8a,No Nickname,,170.0,,Orthodox,6,4,0,False
Caros Fodor,01d2ed8c502e3828,The Future,5.9,155.0,74.0,Orthodox,11,6,0,False
Mal Foki,fa534853eb195270,Twin Tiger,5.7,220.0,,Orthodox,5,5,0,False
Matt Foki,5de61b03868035ff,Twin Tiger,5.7,220.0,,Orthodox,5,4,0,False
AJ Fonseca,0adf1aacda5e26ac,No Nickname,5.4,145.0,,Orthodox,5,4,0,False
Rob Font,05339613bf8e9808,No Nickname,5.8,135.0,71.0,Orthodox,22,9,0,False
Claudionor Fontinelle,7a82635ffa9b59fe,No Nickname,5.5,185.0,,Orthodox,10,15,1,False
Jesse Forbes,947eccadb72f4f6f,Kid Hercules,6.2,185.0,75.0,Southpaw,15,5,0,False
Sterling Ford,a71ce6ff0b4a9dbb,No Nickname,5.1,155.0,,Orthodox,15,7,0,False
Codale Ford,5340123d826ceadb,Crunch Time,5.9,170.0,,Orthodox,11,9,0,False
Raheam Forest,90390dd1b0791e7f,Rambo,5.11,170.0,73.0,Switch,7,2,0,False
Jussier Formiga,b102c26727306ab6,No Nickname,5.5,125.0,67.0,Orthodox,23,8,0,False
Carol Foro,77ba5b2939c4018b,Anabelle,5.2,115.0,61.0,Orthodox,9,1,0,False
Renee Forte,44bc27bfa76dcd9e,No Nickname,5.7,155.0,71.0,Orthodox,8,4,0,False
Brianna Fortino,b53c46f613f6f248,The Bull,5.0,115.0,62.0,Southpaw,9,3,0,False
Marcel Fortuna,d761b3766e38c5db,No Nickname,6.1,205.0,74.0,Orthodox,9,3,0,False
Brian Foster,3dc3022232b79c7a,The Foster Boy,5.9,170.0,71.0,Orthodox,27,10,0,False
Xavier Foupa-Pokam,ec33146e43e58933,Professor X,6.1,185.0,,Open Stance,32,22,0,False
Mason Fowler,d745d4146be48679,No Nickname,5.11,170.0,,Orthodox,2,0,0,False
Brandon Foxworth,f65a0eb902f9476b,No Nickname,5.11,145.0,,Orthodox,18,4,0,False
